X    Y    T
0.0000    0.0000    29.0000
0.0000    0.5051    29.0000
0.0000    1.0101    29.0000
0.0000    1.5152    29.0000
0.0000    2.0202    29.0000
0.0000    2.5253    29.0000
0.0000    3.0303    29.0000
0.0000    3.5354    29.0000
0.0000    4.0404    29.0000
0.0000    4.5455    29.0000
0.0000    5.0505    29.0000
0.0000    5.5556    29.0000
0.0000    6.0606    29.0000
0.0000    6.5657    29.0000
0.0000    7.0707    29.0000
0.0000    7.5758    29.0000
0.0000    8.0808    29.0000
0.0000    8.5859    29.0000
0.0000    9.0909    29.0000
0.0000    9.5960    29.0000
0.0000    10.1010    29.0000
0.0000    10.6061    29.0000
0.0000    11.1111    29.0000
0.0000    11.6162    29.0000
0.0000    12.1212    29.0000
0.0000    12.6263    29.0000
0.0000    13.1313    29.0000
0.0000    13.6364    29.0000
0.0000    14.1414    29.0000
0.0000    14.6465    29.0000
0.0000    15.1515    29.0000
0.0000    15.6566    29.0000
0.0000    16.1616    29.0000
0.0000    16.6667    29.0000
0.0000    17.1717    29.0000
0.0000    17.6768    29.0000
0.0000    18.1818    29.0000
0.0000    18.6869    29.0000
0.0000    19.1919    29.0000
0.0000    19.6970    29.0000
0.0000    20.2020    29.0000
0.0000    20.7071    29.0000
0.0000    21.2121    29.0000
0.0000    21.7172    29.0000
0.0000    22.2222    29.0000
0.0000    22.7273    29.0000
0.0000    23.2323    29.0000
0.0000    23.7374    29.0000
0.0000    24.2424    29.0000
0.0000    24.7475    29.0000
0.0000    25.2525    29.0000
0.0000    25.7576    29.0000
0.0000    26.2626    29.0000
0.0000    26.7677    29.0000
0.0000    27.2727    29.0000
0.0000    27.7778    29.0000
0.0000    28.2828    29.0000
0.0000    28.7879    29.0000
0.0000    29.2929    29.0000
0.0000    29.7980    29.0000
0.0000    30.3030    29.0000
0.0000    30.8081    29.0000
0.0000    31.3131    29.0000
0.0000    31.8182    29.0000
0.0000    32.3232    29.0000
0.0000    32.8283    29.0000
0.0000    33.3333    29.0000
0.0000    33.8384    29.0000
0.0000    34.3434    29.0000
0.0000    34.8485    29.0000
0.0000    35.3535    29.0000
0.0000    35.8586    29.0000
0.0000    36.3636    29.0000
0.0000    36.8687    29.0000
0.0000    37.3737    29.0000
0.0000    37.8788    29.0000
0.0000    38.3838    29.0000
0.0000    38.8889    29.0000
0.0000    39.3939    29.0000
0.0000    39.8990    29.0000
0.0000    40.4040    29.0000
0.0000    40.9091    29.0000
0.0000    41.4141    29.0000
0.0000    41.9192    29.0000
0.0000    42.4242    29.0000
0.0000    42.9293    29.0000
0.0000    43.4343    29.0000
0.0000    43.9394    29.0000
0.0000    44.4444    29.0000
0.0000    44.9495    29.0000
0.0000    45.4545    29.0000
0.0000    45.9596    29.0000
0.0000    46.4646    29.0000
0.0000    46.9697    29.0000
0.0000    47.4747    29.0000
0.0000    47.9798    29.0000
0.0000    48.4848    29.0000
0.0000    48.9899    29.0000
0.0000    49.4949    29.0000
0.0000    50.0000    29.0000
0.5051    0.0000    29.0000
0.5051    0.5051    29.0184
0.5051    1.0101    29.0371
